Client,Project,Service Request,Sample,Lab Code,Sample_Type,Date Collected,Time_Collected,Date Received,Time_Received,Date Extracted,Time_Extracted,Date Analyzed,Time_Analyzed,Extraction Method,Method,Matrix,Basis,Units,CAS_No,Component,Dilution Factor,Reporting Limit,Detection Limit,Result,Result Notes,Spike Concentration,Percent Recovery,Acceptance Limits,Average,RPD,RetentionTime,RegulatoryLimit
"SGS North America, Inc. (SGS Environmental)",1212341,K2105405,RM0-No Name Creek Dup,K2105405-010,SMPL,5/11/2021,10:17,5/14/2021,10:00,5/19/2021,15:57,5/21/2021,16:23,EPA CLP ILM04.0,200.7,Water,NA,mg/L,7439-89-6,"Iron, Total",1,0.021,,4.62,=,,,,,,,
"SGS North America, Inc. (SGS Environmental)",1212341,K2105405,RM0-No Name Creek Dup,K2105405-010,SMPL,5/11/2021,10:17,5/14/2021,10:00,5/19/2021,15:57,5/21/2021,16:23,EPA CLP ILM04.0,200.7,Water,NA,mg/L,7439-95-4,"Magnesium, Total",1,0.0053,,4.06,=,,,,,,,
"SGS North America, Inc. (SGS Environmental)",1212341,K2105405,RM0-No Name Creek,K2105405-011,SMPL,5/11/2021,10:12,5/14/2021,10:00,5/19/2021,15:57,5/21/2021,16:26,EPA CLP ILM04.0,200.7,Water,NA,mg/L,7440-70-2,"Calcium, Total",1,0.021,,9.07,=,,,,,,,
"SGS North America, Inc. (SGS Environmental)",1212341,K2105405,RM0-No Name Creek,K2105405-011,SMPL,5/11/2021,10:12,5/14/2021,10:00,5/19/2021,15:57,5/21/2021,16:26,EPA CLP ILM04.0,200.7,Water,NA,mg/L,7439-89-6,"Iron, Total",1,0.021,,4.35,=,,,,,,,
"SGS North America, Inc. (SGS Environmental)",1212341,K2105405,RM0-No Name Creek,K2105405-011,SMPL,5/11/2021,10:12,5/14/2021,10:00,5/19/2021,15:57,5/21/2021,16:26,EPA CLP ILM04.0,200.7,Water,NA,mg/L,7439-95-4,"Magnesium, Total",1,0.0053,,4.04,=,,,,,,,
"SGS North America, Inc. (SGS Environmental)",1212341,K2105405,RM1.5-Kenai City Dock,K2105405-012,SMPL,5/11/2021,9:30,5/14/2021,10:00,5/19/2021,15:57,5/21/2021,16:28,EPA CLP ILM04.0,200.7,Water,NA,mg/L,7440-70-2,"Calcium, Total",1,0.021,,50.7,=,,,,,,,
"SGS North America, Inc. (SGS Environmental)",1212341,K2105405,RM1.5-Kenai City Dock,K2105405-012,SMPL,5/11/2021,9:30,5/14/2021,10:00,5/19/2021,15:57,5/21/2021,16:28,EPA CLP ILM04.0,200.7,Water,NA,mg/L,7439-89-6,"Iron, Total",1,0.021,,7.3,=,,,,,,,
"SGS North America, Inc. (SGS Environmental)",1212341,K2105405,RM1.5-Kenai City Dock,K2105405-012,SMPL,5/11/2021,9:30,5/14/2021,10:00,5/19/2021,15:57,5/21/2021,19:09,EPA CLP ILM04.0,200.7,Water,NA,mg/L,7439-95-4,"Magnesium, Total",20,0.11,,134,=,,,,,,,
"SGS North America, Inc. (SGS Environmental)",1212341,K2105405,RM6.5-Cunningham Park,K2105405-013,SMPL,5/11/2021,9:15,5/14/2021,10:00,5/19/2021,15:57,5/21/2021,16:31,EPA CLP ILM04.0,200.7,Water,NA,mg/L,7440-70-2,"Calcium, Total",1,0.021,,11.4,=,,,,,,,
"SGS North America, Inc. (SGS Environmental)",1212341,K2105405,RM6.5-Cunningham Park,K2105405-013,SMPL,5/11/2021,9:15,5/14/2021,10:00,5/19/2021,15:57,5/21/2021,16:31,EPA CLP ILM04.0,200.7,Water,NA,mg/L,7439-89-6,"Iron, Total",1,0.021,,5.6,=,,,,,,,
"SGS North America, Inc. (SGS Environmental)",1212341,K2105405,RM6.5-Cunningham Park,K2105405-013,SMPL,5/11/2021,9:15,5/14/2021,10:00,5/19/2021,15:57,5/21/2021,16:31,EPA CLP ILM04.0,200.7,Water,NA,mg/L,7439-95-4,"Magnesium, Total",1,0.0053,,2.97,=,,,,,,,
"SGS North America, Inc. (SGS Environmental)",1212341,K2105405,RM10-Beaver Creek,K2105405-014,SMPL,5/11/2021,10:05,5/14/2021,10:00,5/19/2021,15:57,5/21/2021,16:33,EPA CLP ILM04.0,200.7,Water,NA,mg/L,7440-70-2,"Calcium, Total",1,0.021,,11.1,=,,,,,,,
"SGS North America, Inc. (SGS Environmental)",1212341,K2105405,RM10-Beaver Creek,K2105405-014,SMPL,5/11/2021,10:05,5/14/2021,10:00,5/19/2021,15:57,5/21/2021,16:33,EPA CLP ILM04.0,200.7,Water,NA,mg/L,7439-89-6,"Iron, Total",1,0.021,,2.83,=,,,,,,,
"SGS North America, Inc. (SGS Environmental)",1212341,K2105405,RM10-Beaver Creek,K2105405-014,SMPL,5/11/2021,10:05,5/14/2021,10:00,5/19/2021,15:57,5/21/2021,16:33,EPA CLP ILM04.0,200.7,Water,NA,mg/L,7439-95-4,"Magnesium, Total",1,0.0053,,2.86,=,,,,,,,
"SGS North America, Inc. (SGS Environmental)",1212341,K2105405,Method Blank,KQ2108770-01,MB1,NA,NA,NA,NA,5/19/2021,15:57,5/21/2021,15:37,EPA CLP ILM04.0,200.7,Water,NA,mg/L,7440-70-2,"Calcium, Total",1,0.021,,ND,ND,,,,,,,
"SGS North America, Inc. (SGS Environmental)",1212341,K2105405,Method Blank,KQ2108770-01,MB1,NA,NA,NA,NA,5/19/2021,15:57,5/21/2021,15:37,EPA CLP ILM04.0,200.7,Water,NA,mg/L,7439-89-6,"Iron, Total",1,0.021,,ND,ND,,,,,,,
"SGS North America, Inc. (SGS Environmental)",1212341,K2105405,Method Blank,KQ2108770-01,MB1,NA,NA,NA,NA,5/19/2021,15:57,5/21/2021,15:37,EPA CLP ILM04.0,200.7,Water,NA,mg/L,7439-95-4,"Magnesium, Total",1,0.0053,,ND,ND,,,,,,,
"SGS North America, Inc. (SGS Environmental)",1212341,K2105405,Lab Control Sample,KQ2108770-02,LCS1,NA,NA,NA,NA,5/19/2021,15:57,5/21/2021,15:39,EPA CLP ILM04.0,200.7,Water,NA,mg/L,7440-70-2,"Calcium, Total",1,0.021,,12.1,=,12.5,96,85-115,,,,
"SGS North America, Inc. (SGS Environmental)",1212341,K2105405,Lab Control Sample,KQ2108770-02,LCS1,NA,NA,NA,NA,5/19/2021,15:57,5/21/2021,15:39,EPA CLP ILM04.0,200.7,Water,NA,mg/L,7439-89-6,"Iron, Total",1,0.021,,2.45,=,2.5,98,85-115,,,,
"SGS North America, Inc. (SGS Environmental)",1212341,K2105405,Lab Control Sample,KQ2108770-02,LCS1,NA,NA,NA,NA,5/19/2021,15:57,5/21/2021,15:39,EPA CLP ILM04.0,200.7,Water,NA,mg/L,7439-95-4,"Magnesium, Total",1,0.0054,,13,=,12.5,104,85-115,,,,
"SGS North America, Inc. (SGS Environmental)",1212341,K2105405,RM22-Soldotna Creek,KQ2108770-03,DUP1,5/11/2021,11:35,5/14/2021,10:00,5/19/2021,15:57,5/21/2021,15:44,EPA CLP ILM04.0,200.7,Water,NA,mg/L,7440-70-2,"Calcium, Total",1,0.021,,12.4,=,,,,12.5,<1,,
"SGS North America, Inc. (SGS Environmental)",1212341,K2105405,RM22-Soldotna Creek,KQ2108770-03,DUP1,5/11/2021,11:35,5/14/2021,10:00,5/19/2021,15:57,5/21/2021,15:44,EPA CLP ILM04.0,200.7,Water,NA,mg/L,7439-89-6,"Iron, Total",1,0.021,,1.02,=,,,,1.03,<1,,
"SGS North America, Inc. (SGS Environmental)",1212341,K2105405,RM22-Soldotna Creek,KQ2108770-03,DUP1,5/11/2021,11:35,5/14/2021,10:00,5/19/2021,15:57,5/21/2021,15:44,EPA CLP ILM04.0,200.7,Water,NA,mg/L,7439-95-4,"Magnesium, Total",1,0.0053,,3.56,=,,,,3.57,<1,,
"SGS North America, Inc. (SGS Environmental)",1212341,K2105405,RM23-Swiftwater Park,KQ2108770-05,DUP1,5/11/2021,11:10,5/14/2021,10:00,5/19/2021,15:57,5/21/2021,15:52,EPA CLP ILM04.0,200.7,Water,NA,mg/L,7440-70-2,"Calcium, Total",1,0.021,,10.7,=,,,,10.7,<1,,
"SGS North America, Inc. (SGS Environmental)",1212341,K2105405,RM23-Swiftwater Park,KQ2108770-05,DUP1,5/11/2021,11:10,5/14/2021,10:00,5/19/2021,15:57,5/21/2021,15:52,EPA CLP ILM04.0,200.7,Water,NA,mg/L,7439-89-6,"Iron, Total",1,0.021,,0.419,=,,,,0.419,<1,,
"SGS North America, Inc. (SGS Environmental)",1212341,K2105405,RM23-Swiftwater Park,KQ2108770-05,DUP1,5/11/2021,11:10,5/14/2021,10:00,5/19/2021,15:57,5/21/2021,15:52,EPA CLP ILM04.0,200.7,Water,NA,mg/L,7439-95-4,"Magnesium, Total",1,0.0053,,1.28,=,,,,1.28,<1,,
"SGS North America, Inc. (SGS Environmental)",1212341,K2105405,RM22-Soldotna Creek,KQ2108770-04,MS1,5/11/2021,11:35,5/14/2021,10:00,5/19/2021,15:57,5/21/2021,15:47,EPA CLP ILM04.0,200.7,Water,NA,mg/L,7440-70-2,"Calcium, Total",1,0.022,,21.7,=,10,92,70-130,,,,
"SGS North America, Inc. (SGS Environmental)",1212341,K2105405,RM22-Soldotna Creek,KQ2108770-04,MS1,5/11/2021,11:35,5/14/2021,10:00,5/19/2021,15:57,5/21/2021,15:47,EPA CLP ILM04.0,200.7,Water,NA,mg/L,7439-89-6,"Iron, Total",1,0.022,,1.98,=,1,95,70-130,,,,
"SGS North America, Inc. (SGS Environmental)",1212341,K2105405,RM22-Soldotna Creek,KQ2108770-04,MS1,5/11/2021,11:35,5/14/2021,10:00,5/19/2021,15:57,5/21/2021,15:47,EPA CLP ILM04.0,200.7,Water,NA,mg/L,7439-95-4,"Magnesium, Total",1,0.0055,,14.1,=,10,105,70-130,,,,
"SGS North America, Inc. (SGS Environmental)",1212341,K2105405,RM23-Swiftwater Park,KQ2108770-06,MS1,5/11/2021,11:10,5/14/2021,10:00,5/19/2021,15:57,5/21/2021,15:55,EPA CLP ILM04.0,200.7,Water,NA,mg/L,7440-70-2,"Calcium, Total",1,0.022,,20.7,=,10,100,70-130,,,,
"SGS North America, Inc. (SGS Environmental)",1212341,K2105405,RM23-Swiftwater Park,KQ2108770-06,MS1,5/11/2021,11:10,5/14/2021,10:00,5/19/2021,15:57,5/21/2021,15:55,EPA CLP ILM04.0,200.7,Water,NA,mg/L,7439-89-6,"Iron, Total",1,0.022,,1.45,=,1,103,70-130,,,,
"SGS North America, Inc. (SGS Environmental)",1212341,K2105405,RM23-Swiftwater Park,KQ2108770-06,MS1,5/11/2021,11:10,5/14/2021,10:00,5/19/2021,15:57,5/21/2021,15:55,EPA CLP ILM04.0,200.7,Water,NA,mg/L,7439-95-4,"Magnesium, Total",1,0.0055,,12.4,=,10,111,70-130,,,,
